,names,scores,logfoldchanges,pvals,pvals_adj,celltype
134420,CAPN7,3.799986,0.92764246,0.0001488595558724621,0.0018337016290889455,t_Tn-LEF1
134421,TRAV9-2,3.798619,1.1552647,0.00014976182275877747,0.0018427685327582536,t_Tn-LEF1
134422,CLPP,3.7975726,0.7694998,0.00015012550901853696,0.0018462190302096617,t_Tn-LEF1
134423,ZNF600,3.7973094,1.3293726,0.00015070667244088443,0.0018513124919843382,t_Tn-LEF1
134424,KIAA0319L,3.794724,1.4629964,0.00015256228787451702,0.0018723312052517102,t_Tn-LEF1
134425,TRIM14,3.7941434,1.2158157,0.00015258659125467192,0.0018723312052517102,t_Tn-LEF1
134426,SRGAP3,3.792633,4.5539737,0.00015634139123291146,0.0019120560771138146,t_Tn-LEF1
134427,IRF2BPL,3.7924843,1.2883213,0.0001536958070178013,0.0018848988545385555,t_Tn-LEF1
134428,KHNYN,3.792482,1.873173,0.00015417863790320778,0.0018897749796726513,t_Tn-LEF1
134429,CEP164,3.7915626,1.520411,0.00015465299659905228,0.0018945419301606553,t_Tn-LEF1
134430,THUMPD3-AS1,3.7896621,0.65767336,0.0001548987365965638,0.0018965045204614075,t_Tn-LEF1
134431,PIK3AP1,3.7890072,24.521595,0.0001590645593132849,0.0019421467365933183,t_Tn-LEF1
134432,KIF5C,3.785565,3.2077863,0.00015997498031728675,0.0019519819721214033,t_Tn-LEF1
134433,CFAP298,3.785344,0.79688984,0.0001576736481692335,0.0019272865495349584,t_Tn-LEF1
134434,ZNF490,3.7826543,1.4803082,0.00016004614735564475,0.0019519819721214033,t_Tn-LEF1
134435,CDV3,3.7811286,0.8392316,0.00016041034493930346,0.001955348311346441,t_Tn-LEF1
134436,CLTC,3.7781932,0.967351,0.00016236798865072394,0.0019781238529409354,t_Tn-LEF1
134437,PHPT1,3.7776034,0.75295,0.00016262647576278813,0.0019801849791808352,t_Tn-LEF1
134438,ODR4,3.7773035,1.6649365,0.00016376438013702334,0.001990527772170802,t_Tn-LEF1
134439,PFKP,3.7770364,1.189601,0.00016330856227808217,0.001987398875626738,t_Tn-LEF1
134440,GCH1,3.7761934,0.98604167,0.00016357477638310222,0.0019895466356239853,t_Tn-LEF1
134441,TES,3.7755039,0.6228386,0.00016383498778747637,0.001990527772170802,t_Tn-LEF1
134442,NUMA1,3.7752311,0.79185975,0.00016416367805660405,0.0019934289340356416,t_Tn-LEF1
134443,PHF8,3.7750971,1.9359726,0.00016553321425387486,0.002006762143056953,t_Tn-LEF1
134444,CANX,3.7747543,0.63228357,0.00016433882245633422,0.0019944634429799116,t_Tn-LEF1
134445,FAM49B,3.7730756,0.54885596,0.0001654245680649807,0.002006542093930425,t_Tn-LEF1
134446,TM4SF1,3.7701068,3.2627265,0.00017037540852776753,0.0020598731553293764,t_Tn-LEF1
134447,PRR14,3.7669182,1.3741962,0.00017047577597670464,0.002059923368246034,t_Tn-LEF1
134448,CD96,3.7662785,0.51989824,0.0001699339607846516,0.0020567389260251526,t_Tn-LEF1
134449,NUP58,3.7658641,0.7420221,0.00017037872037496397,0.0020598731553293764,t_Tn-LEF1
134450,QPCT,3.76559,2.6447053,0.00017258045260950825,0.0020842191588837833,t_Tn-LEF1
134451,VPS13C,3.7610524,0.79771036,0.00017375190155227157,0.002096083195385483,t_Tn-LEF1
134452,IGLV3-19,3.7585044,1.1424484,0.00017587268959441866,0.00211936149259622,t_Tn-LEF1
134453,BAZ2A,3.7574432,1.0400972,0.0001764874602724413,0.0021244606170580027,t_Tn-LEF1
134454,TRIP12,3.7573044,0.97881967,0.00017645977241917692,0.0021244606170580027,t_Tn-LEF1
134455,SLC6A6,3.756665,1.4745135,0.00017757392443697065,0.0021352205133085412,t_Tn-LEF1
134456,WRNIP1,3.7551413,1.2305688,0.000178338518399169,0.002143252015428062,t_Tn-LEF1
