"","from","to","source","database"
"4207","ARHGAP25","WRAP53","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4208","VIM","CNTRL","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4209","PKLR","PRKAA2","inweb_inbio_interaction","inweb_inbiomap"
"4210","SRRT","CBX3","cpdb_complex","cpdb"
"4211","PLCZ1","TRPC6","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4212","RPA2","POLR2C","inweb_inbio_pathway","inweb_inbiomap"
"4213","LIN37","EWSR1","inweb_inbio_interaction","inweb_inbiomap"
"4214","MAP4K4","STRN3","inweb_inbio_interaction","inweb_inbiomap"
"4215","ELL2","INTS9","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4216","CCT6B","ATP6V1A","inweb_inbio_interaction","inweb_inbiomap"
"4217","FZD3","DVL2","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4218","PRPF40A","GOT1","inweb_inbio_interaction","inweb_inbiomap"
"4219","PSMA5","PSMA7","vinayagam_ppi","vinayagam"
"4220","ULBP1","RAE1","evex_binding","evex_signaling"
"4221","SLC12A7","SLC9A8","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4222","DNAJA4","PYCR3","inweb_inbio_interaction","inweb_inbiomap"
"4223","CENPA","AURKB","inweb_inbio_interaction_pathway","inweb_inbiomap"
"4224","WDR33","CPSF7","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4225","SMAP1","DDX31","cpdb_complex","cpdb"
"4226","ELAVL1","SKIDA1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4227","INTS5","INTS4","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4228","PRKDC","FUS","omnipath_undirectional","omnipath"
"4229","FGFR1","DUSP3","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4230","DHX30","SRSF3","cpdb_complex","cpdb"
"4231","VDAC1","AGL","inweb_inbio_interaction","inweb_inbiomap"
"4232","C6orf141","OFD1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4233","SNRPB","DYNC1H1","omnipath_undirectional","omnipath"
"4234","SDHB","SRP68","cpdb_complex","cpdb"
"4235","HIST1H2BM","PABPC4","inweb_inbio_interaction","inweb_inbiomap"
"4236","LMO7","UBE2E3","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4237","HNRNPR","FBXW4","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4238","MRPS22","HIST1H3I","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4239","TMEM63B","SLC35E1","inweb_inbio_interaction","inweb_inbiomap"
"4240","TOX4","STK17B","inweb_inbio_interaction","inweb_inbiomap"
"4241","ESYT2","VAMP4","cpdb_complex","cpdb"
"4242","B3GNTL1","MUC4","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4243","XRN1","USP11","inweb_inbio_interaction","inweb_inbiomap"
"4244","KCNAB1","KCNG1","inweb_inbio_pathway","inweb_inbiomap"
"4245","IL9R","IFNAR2","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4246","PECR","ECHS1","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4247","KIZ","BICD1","cpdb_complex","cpdb"
"4248","IGKV1-39","BAIAP2","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4249","FTSJ3","MSN","inweb_inbio_interaction","inweb_inbiomap"
"4250","HDGF","EIF5B","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4251","PSEN1","NPR1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4252","HOMER3","YWHAB","inweb_inbio_interaction","inweb_inbiomap"
"4253","SRP54","CCT3","inweb_inbio_interaction","inweb_inbiomap"
"4254","VDAC1","NUDC","inweb_inbio_interaction","inweb_inbiomap"
"4255","DROSHA","RIPK1","evex_binding","evex_signaling"
"4256","NT5E","RPTOR","inweb_inbio_interaction","inweb_inbiomap"
"4257","PKD1","S100A2","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4258","KAT8","TP53BP1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4259","ERG","NEDD4","cpdb_interaction","cpdb"
"4260","SMARCD2","RET","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4261","UFL1","TBL2","cpdb_complex","cpdb"
"4262","ATXN1L","STAC2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4263","RPL15","RPS6","omnipath_undirectional","omnipath"
"4264","OGT","WDR82","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4265","RASA1","ACTR1A","evex_binding","evex_signaling"
"4266","FAM20C","TSC22D1","vinayagam_ppi","vinayagam"
"4267","MELK","FAM53C","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4268","ERGIC2","HNF4A","inweb_inbio_interaction","inweb_inbiomap"
"4269","C19orf57","AIMP2","omnipath_undirectional","omnipath"
"4270","BMP15","PGRMC1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4271","SREBF1","CDK8","omnipath_undirectional","omnipath"
"4272","SRPRB","ATP2B2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4273","PSMD14","MAX","inweb_inbio_interaction","inweb_inbiomap"
"4274","WWOX","MATR3","cpdb_interaction","cpdb"
"4275","CFL1","PHGDH","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4276","SMG5","RPL39","inweb_inbio_pathway","inweb_inbiomap"
"4277","SYF2","DDX3X","cpdb_complex","cpdb"
"4278","KIF2A","STAG2","inweb_inbio_pathway","inweb_inbiomap"
"4279","TRPM8","CLCA2","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4280","C5AR1","C5AR2","evex_binding","evex_signaling"
"4281","SETD1A","RARS","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4282","DDX24","TSR2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4283","DPY30","DYDC1","inweb_inbio_interaction","inweb_inbiomap"
"4284","RPL18A","RPL36A","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4285","LARP1","HIST1H3D","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4286","CELSR2","PHF10","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4287","ABCC10","MAPK8","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4288","SLC1A2","DARS","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4289","PASK","PPP1R3A","inweb_inbio_interaction","inweb_inbiomap"
"4290","PSMD6","LBR","cpdb_complex","cpdb"
"4291","SNRPC","POLR2A","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4292","POLD2","AQR","inweb_inbio_pathway","inweb_inbiomap"
"4293","CD99","EMD","cpdb_complex","cpdb"
"4294","ARMCX3","TSEN34","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4295","HPSE2","GPC3","inweb_inbio_pathway","inweb_inbiomap"
"4296","NIP7","GABARAP","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4297","SLC11A2","HNRNPA2B1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4298","KDM5D","PCGF6","omnipath_undirectional","omnipath"
"4299","NMUR1","NPY2R","inweb_inbio_pathway","inweb_inbiomap"
"4300","NAPA","GNAQ","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4301","CEP162","SYNPO","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4302","STX3","ZMAT3","cpdb_complex","cpdb"
"4303","BHLHB9","GPANK1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4304","CALM2","CASP8","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4305","POLR2A","SRSF4","inweb_inbio_pathway","inweb_inbiomap"
"4306","VPS35","NMT1","cpdb_complex","cpdb"
"4307","MRPL37","MRPL36","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4308","SMAD1","ZFX","evex_binding","evex_signaling"
"4309","HDGF","HIST1H3G","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4310","TCF3","TLE1","inweb_inbio_interaction","inweb_inbiomap"
"4311","REEP4","OR4S1","pathwaycommons_controls_state_change_of","pathwaycommons_signaling"
"4312","MOV10","NUTF2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4313","EBP","ABCE1","cpdb_interaction","cpdb"
"4314","PRDX1","BUB3","cpdb_complex","cpdb"
"4315","CSNK2A1","PPA2","inweb_inbio_interaction","inweb_inbiomap"
"4316","HIP1R","NECAP1","inweb_inbio_pathway","inweb_inbiomap"
"4317","GART","CAD","inweb_inbio_interaction","inweb_inbiomap"
"4318","ALDH16A1","UGP2","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4319","XRN1","IMP3","cpdb_complex","cpdb"
"4320","OBSL1","TUBA1B","inweb_inbio_interaction","inweb_inbiomap"
"4321","CAD","HIST2H2AB","inweb_inbio_interaction","inweb_inbiomap"
"4322","ZDHHC17","GCN1","inweb_inbio_interaction","inweb_inbiomap"
"4323","HIST1H3H","HOXD1","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4324","MYL6","MOB4","inweb_inbio_interaction","inweb_inbiomap"
"4325","HDAC1","HIST1H2AM","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4326","SNRNP48","SRSF7","inweb_inbio_pathway","inweb_inbiomap"
"4327","NEDD4L","ATP2A2","pathwaycommons_catalysis_precedes","pathwaycommons_signaling"
"4328","NRROS","LINGO1","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4329","ARRB2","XPO1","inweb_inbio_interaction","inweb_inbiomap"
"4330","DDX1","PDCD6","pathwaycommons_interacts_with","pathwaycommons_signaling"
"4331","DHX8","PABPC1","pathwaycommons_in_complex_with","pathwaycommons_signaling"
"4332","TNF","CD81","evex_binding","evex_signaling"
"4333","ATP5H","SDHA","pathwaycommons_interacts_with","pathwaycommons_signaling"
